,count,lat,long,pop,pop/ex
0,7.0,14.9167,120.7667,108757.0,15536.714285714286
1,6.0,14.8333,120.7333,129807.0,21634.5
2,11.0,14.8333,120.8833,99730.0,9066.363636363636
3,3.0,14.7928,120.8789,76565.0,25521.666666666668
4,4.0,14.8667,120.95,89075.0,22268.75
5,23.0,14.95,120.9,149954.0,6519.739130434783
6,6.0,14.8145,120.9085,73929.0,12321.5
7,8.0,15.6581,120.7689,118655.0,14831.875
8,5.0,15.9,120.5833,62333.0,12466.6
9,21.0,14.7581,120.9481,221965.0,10569.761904761905
10,13.0,15.1458,120.9783,153882.0,11837.076923076924
11,19.0,15.9761,120.5711,132940.0,6996.8421052631575
12,7.0,16.1167,120.55,69555.0,9936.42857142857
13,46.0,10.3127,123.9488,408112.0,8872.0
14,136.0,14.55,121.0,416522.0,3062.6617647058824
15,25.0,18.1951,120.5918,111125.0,4445.0
16,154.0,14.4667,121.0167,665822.0,4323.519480519481
17,78.0,14.3833,121.05,504509.0,6468.0641025641025
18,6.0,10.6931,122.4736,89115.0,14852.5
19,3.0,15.9844,120.815,32945.0,10981.666666666666
20,2.0,15.9,120.8,73252.0,36626.0
21,29.0,9.75,118.75,255116.0,8797.103448275862
22,354.0,14.6,120.9833,23088000.0,65220.338983050846
23,73.0,10.6765,122.9509,561875.0,7696.917808219178
24,208.0,14.55,121.0333,582602.0,2800.971153846154
25,13.0,16.1553,119.9808,89708.0,6900.615384615385
26,94.0,10.7167,122.5667,447992.0,4765.872340425532
27,125.0,14.65,120.9667,1583978.0,12671.824
28,482.0,14.6333,121.0333,2936116.0,6091.526970954357
29,106.0,14.5167,121.05,804915.0,7593.537735849057
30,136.0,7.0667,125.6,1632991.0,12007.286764705883
31,41.0,14.8333,120.2833,233040.0,5683.90243902439
32,6.0,16.5333,120.4,54221.0,9036.833333333334
33,10.0,16.322,120.3647,63692.0,6369.2
34,176.0,10.3,123.9,922611.0,5242.107954545455
35,11.0,10.4,123.95,131528.0,11957.09090909091
36,47.0,10.3333,123.9333,362654.0,7716.04255319149
37,42.0,6.9167,122.0833,861799.0,20519.02380952381
38,81.0,15.0333,120.6833,306659.0,3785.9135802469136
39,88.0,14.4297,120.9367,403785.0,4588.465909090909
40,85.0,14.4624,120.9645,600609.0,7065.988235294118
41,14.0,14.3167,120.7667,111454.0,7961.0
42,16.0,14.4333,120.9,83466.0,5216.625
43,11.0,14.4833,120.9,102806.0,9346.0
44,11.0,17.2,120.45,60623.0,5511.181818181818
45,121.0,14.575,121.0833,755300.0,6242.148760330579
46,9.0,15.1493,120.7692,133492.0,14832.444444444445
47,25.0,15.2167,120.5833,250799.0,10031.96
48,90.0,15.1472,120.5847,411634.0,4573.711111111111
49,24.0,15.0939,120.7681,55178.0,2299.0833333333335
50,9.0,14.0833,121.1833,179844.0,19982.666666666668
51,4.0,11.4667,124.95,41591.0,10397.75
52,14.0,14.9667,120.6333,117430.0,8387.857142857143
53,7.0,15.2167,120.6667,113147.0,16163.857142857143
54,38.0,16.4152,120.5956,345366.0,9088.578947368422
