Manila,14.6,120.9833,Manila,23088000
Quezon City,14.6333,121.0333,Quezon,2936116
Davao,7.0667,125.6,Davao,1632991
Caloocan City,14.65,120.9667,Caloocan,1583978
Cebu City,10.3,123.9,Cebu,922611
Zamboanga City,6.9167,122.0833,Zamboanga,861799
Taguig City,14.5167,121.05,Taguig,804915
Antipolo,14.5842,121.1763,Rizal,776386
Pasig City,14.575,121.0833,Pasig,755300
Cagayan de Oro,8.4833,124.65,Cagayan de Oro,675950
City of Parañaque,14.4667,121.0167,Parañaque,665822
Dasmariñas,14.3294,120.9367,Cavite,659019
Valenzuela,14.7,120.9833,Valenzuela,620422
Bacoor,14.4624,120.9645,Cavite,600609
General Santos,6.1167,125.1667,General Santos,594446
Las Piñas City,14.45,120.9833,Las Piñas,588894
Makati City,14.55,121.0333,Makati,582602
San Jose del Monte,14.8139,121.0453,Bulacan,574089
Bacolod,10.6765,122.9509,Bacolod,561875
Muntinlupa City,14.3833,121.05,Muntinlupa,504509
City of Calamba,14.2167,121.1667,Laguna,454486
Marikina City,14.65,121.1,Marikina,450741
Iloilo,10.7167,122.5667,Iloilo,447992
Pasay City,14.55,121,Pasay,416522
Angeles City,15.1472,120.5847,Angeles,411634
Lapu-Lapu City,10.3127,123.9488,Lapu-Lapu,408112
Imus,14.4297,120.9367,Cavite,403785
Mandaluyong City,14.5833,121.0333,Mandaluyong,386276
Rodriguez,14.7167,121.1167,Rizal,369222
Malabon,14.6625,120.9567,Malabon,365525
Mandaue City,10.3333,123.9333,Mandaue,362654
Santa Rosa,14.3167,121.1167,Laguna,353767
Baguio City,16.4152,120.5956,Baguio,345366
Iligan,8.2333,124.25,Iligan,342618
Tarlac City,15.4802,120.5979,Tarlac,342493
Butuan,8.9534,125.5288,Butuan,337063
Biñan,14.3333,121.0833,Laguna,333028
Lipa City,13.9411,121.1622,Batangas,332386
Batangas,13.75,121.05,Batangas,329874
San Pedro,14.3583,121.0583,Laguna,325809
Cainta,14.5667,121.1167,Rizal,322128
Taytay,14.5692,121.1325,Rizal,319104
General Trias,14.3833,120.8833,Cavite,314303
Cabuyao,14.275,121.125,Laguna,308745
San Fernando,15.0333,120.6833,Pampanga,306659
Cabanatuan City,15.4833,120.9667,Nueva Ecija,302231
Cotabato,7.2167,124.25,Cotabato,299438
Binangonan,14.4514,121.1919,Rizal,282474
Lucena,13.9333,121.6167,Lucena,266248
San Pablo,14.07,121.325,Laguna,266068
Tagum,7.4478,125.8078,Davao del Norte,259444
Santa Maria,14.8183,120.9563,Bulacan,256454
Puerto Princesa,9.75,118.75,Puerto Princesa,255116
San Mateo,14.6969,121.1219,Rizal,252527
Malolos,14.8433,120.8114,Bulacan,252074
Mabalacat,15.2167,120.5833,Pampanga,250799
Navotas,14.6667,120.9417,Navotas,249463
Silang,14.2306,120.975,Cavite,248085
Tacloban,11.2444,125.0039,Tacloban,242089
Olongapo,14.8333,120.2833,Olongapo,233040
Talisay,10.25,123.8333,Cebu,227645
Tanza,14.3944,120.8531,Cavite,226188
Marilao,14.7581,120.9481,Bulacan,221965
Ormoc,11.0167,124.6167,Ormoc,215031
Meycauayan,14.7333,120.95,Bulacan,209083
Marawi City,8,124.3,Lanao del Sur,201785
Pagadian,7.8333,123.4333,Zamboanga del Sur,199060
Legazpi City,13.1333,123.7333,Albay,196639
Naga City,13.6167,123.1667,Naga,196003
Valencia,7.9,125.0833,Bukidnon,192993
San Carlos City,15.9281,120.3489,Pangasinan,188571
Panabo,7.3,125.6833,Davao del Norte,184599
Calbayog City,12.0667,124.6,Samar,183851
Kabankalan,9.9833,122.8167,Negros Occidental,181977
Santo Tomas,14.0833,121.1833,Batangas,179844
Koronadal,6.5,124.85,South Cotabato,174942
Malaybalay,8.1575,125.1278,Bukidnon,174625
Tanauan,14.0833,121.15,Batangas,173366
Dagupan City,16.0333,120.3333,Dagupan,171271
Bago,10.5388,122.8384,Negros Occidental,170981
Toledo,10.3833,123.65,Cebu,170335
Digos,6.75,125.35,Davao del Sur,169393
Sorsogon,12.9667,124,Sorsogon,168110
Roxas City,11.5833,122.75,Capiz,167003
Lubao,14.9333,120.6,Pampanga,160838
Trece Martires City,14.2833,120.8667,Cavite,155713
General Mariano Alvarez,14.3,121,Cavite,155143
Cadiz,10.95,123.3,Negros Occidental,154723
Mexico,15.0667,120.7167,Pampanga,154624
Pikit,7.05,124.6667,Cotabato,154441
Concepcion,15.3249,120.6554,Tarlac,154188
Surigao,9.7833,125.4833,Surigao del Norte,154137
San Miguel,15.1458,120.9783,Bulacan,153882
Tuguegarao,17.6167,121.7167,Cagayan,153502
Polomolok,6.2167,125.0667,South Cotabato,152589
Midsayap,7.1917,124.5333,Cotabato,151684
Baliuag,14.95,120.9,Bulacan,149954
Sariaya,13.9667,121.5333,Quezon,148980
Sagay,10.9,123.4167,Negros Occidental,146264
Ilagan,17.1333,121.8833,Isabela,145568
San Jose,12.3528,121.0676,Occidental Mindoro,143430
