1,MC/FXD,CALUMPIT,BULACAN
2,MC/FXD,HAGONOY,BULACAN
3,MC/FXD,GUIGUINTO,BULACAN
4,MC/FXD,BULACAN,BULACAN
5,MC/FXD,HAGONOY,BULACAN
6,MC/FXD,PANDI,BULACAN
7,MC/FXD,BALIUAG,BULACAN
8,MC/FXD,BALAGTAS,BULACAN
9,MC/FXD,GUIMBA,NUEVA ECIJA
10,MC/FXD,VILLASIS,PANGASINAN
11,MC/FXD,MARILAO,BULACAN
12,MC/FXD,CALUMPIT,BULACAN
13,MC/FXD,SAN MIGUEL,BULACAN
14,MC/FXD,CALUMPIT,BULACAN
15,MC/FXD,CITY OF URDANETA,PANGASINAN
16,MC/FXD,POZORRUBIO,PANGASINAN
17,MC/FXD,MARILAO,BULACAN
18,MC/FXD,CITY OF LAPU-LAPU,CEBU
19,MC/FXD,PASAY CITY,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
20,MC/FXD,CITY OF LAOAG (CAPITAL),ILOCOS NORTE
21,MC/FXD,CITY OF PARAÑAQUE,"NCR, FOURTH DISTRICT (NOT A PROVINCE)"
22,MC/FXD,CITY OF MUNTINLUPA,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
23,MC/FXD,OTON,ILOILO
24,MC/FXD,SANCHEZ-MIRA,CAGAYAN
25,RTC,SAN QUINTIN,PANGASINAN
26,RTC,UMINGAN,PANGASINAN
27,RTC,SAN QUINTIN,PANGASINAN
28,MC/FXD,CITY OF PUERTO PRINCESA (CAPITAL),PALAWAN
29,MC/FXD,ERMITA,"NCR, CITY OF MANILA, FIRST
DISTRICT (NOT A PROVINCE)"
30,MC/FXD,CITY OF BACOLOD (CAPITAL),NEGROS OCCIDENTAL
31,RTC,CITY OF MAKATI,"NCR, FOURTH DISTRICT (NOT A PROVINCE)"
32,RTC/MC/FXD,BINONDO,"NCR, CITY OF MANILA, FIRST
DISTRICT (NOT A PROVINCE)"
33,MC/FXD,CITY OF ALAMINOS,PANGASINAN
34,MC/FXD,CITY OF ILOILO (CAPITAL),ILOILO
35,RTC/MC/FXD,PASAY CITY,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
36,MC/FXD,PASAY CITY,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
37,MC/FXD,PASAY CITY,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
38,RTC,CITY OF CALOOCAN,"NCR, THIRD DISTRICT (NOT A PROVINCE)"
NO.,ACTIVITY,CITYMUN,PROVINCE
39,RTC,CITY OF MAKATI,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
40,MC/FXD,QUEZON CITY,"NCR, SECOND DISTRICT (NOT A PROVINCE)"
41,MC/FXD,CITY OF TAGUIG,"NCR, FOURTH DISTRICT (NOT A PROVINCE)"
42,MC/FXD,CITY OF DAVAO,DAVAO DEL SUR
43,MC/FXD,ERMITA,"NCR, CITY OF MANILA, FIRST
DISTRICT (NOT A PROVINCE)"
44,MC/FXD,CITY OF OLONGAPO,ZAMBALES
45,RTC/MC/FXD,NAGUILIAN,LA UNION
46,MC/FXD,AGOO,LA UNION
47,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
48,MC/FXD,CITY OF LAPU-LAPU,CEBU
49,MC/FXD,CONSOLACION,CEBU
50,MC/FXD,CITY OF MANDAUE,CEBU
51,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
52,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
53,MC/FXD,CITY OF ZAMBOANGA,ZAMBOANGA DEL SUR
54,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
55,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
56,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
57,RTC/MC/FXD,CITY OF MAKATI,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
58,MC/FXD,QUEZON CITY,"NCR, SECOND DISTRICT (NOT A
PROVINCE)"
59,MC/FXD,"CITY OF SAN FERNANDO
(CAPITAL)",PAMPANGA
60,MC/FXD,PASAY CITY,"NCR, FOURTH DISTRICT (NOT A
PROVINCE)"
61,MC/FXD,CITY OF IMUS,CAVITE
62,MC/FXD,CITY OF BACOOR,CAVITE
63,MC/FXD,CITY OF BACOOR,CAVITE
64,MC/FXD,CITY OF IMUS,CAVITE
65,RTC,CITY OF BACOOR,CAVITE
66,RTC,CITY OF BACOOR,CAVITE
67,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
68,MC/FXD,CONSOLACION,CEBU
69,MC/FXD,CITY OF LAPU-LAPU,CEBU
70,MC/FXD,CITY OF CEBU (CAPITAL),CEBU
71,MC/FXD,NAIC,CAVITE
72,MC/FXD,KAWIT,CAVITE
73,MC/FXD,CITY OF CAVITE,CAVITE
74,MC/FXD,CITY OF CANDON,ILOCOS SUR
75,MC/FXD,CITY OF PASIG,"NCR, SECOND DISTRICT (NOT A
PROVINCE)"
76,RTC/MC/FXD,"CITY OF SAN FERNANDO
(CAPITAL)",PAMPANGA
77,RTC,ARAYAT,PAMPANGA
78,RTC,ARAYAT,PAMPANGA
NO.,ACTIVITY,CITYMUN,PROVINCE
79,RTC,ARAYAT,PAMPANGA
80,RTC,MABALACAT CITY,PAMPANGA
81,RTC,CITY OF ANGELES,PAMPANGA
82,RTC,SANTA ANA,PAMPANGA
83,RTC,SANTO TOMAS,PAMPANGA
84,RTC,SANTA RITA,PAMPANGA
85,RTC,GUAGUA,PAMPANGA
86,RTC,CITY OF ANGELES,PAMPANGA
87,RTC,CITY OF ANGELES,PAMPANGA
88,RTC,CITY OF ANGELES,PAMPANGA
89,RTC,CITY OF ANGELES,PAMPANGA
90,RTC,"CITY OF SAN FERNANDO
(CAPITAL)",PAMPANGA
91,RTC,"CITY OF SAN FERNANDO
(CAPITAL)",PAMPANGA
